Complaint,Coded Month,Date Occur,Flag-Crime,Flag-Unfounded,Flag-Administrative,Count,Flag Cleanup,Crime,ILeads Add,ILeads Approve,District,Beat,Description,ILEADS-Address,ILEADS-Street,Neighborhood,ILeads Asg,ILeads Type,Location Name,Location Comment,CAD-Address,CAD-Street,X-Coord,Y-Coord,Date Crime Coded
17-023451,2017-05,5/16/2017 22:35,Y, , ,1, ,83000,5/16/2017 23:44,5/18/2017,6,627,ARSON-KNOWINGLY BURNING/SUCCESS                   ,5300,N BROADWAY          ,64,306,, ,REAR ALLEY,5300,BROADWAY,903286.6,1036337,5/22/2017
17-021360,2017-05,5/6/2017 7:11,Y, , ,1, ,67701,5/6/2017 8:51,5/8/2017,3,326,LARCENY-FROM BUILDING UNDER $500                  ,1410,S TUCKER BLVD       ,34,303,, ,@TWELFTH AND PARK REC CENTER,1410,TUCKER,904894.9,1013047,5/9/2017
17-021124,2017-05,5/5/2017 4:00,Y, , ,1, ,142320,5/5/2017 5:46,5/6/2017,5,527,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1315,N KINGSHIGHWAY BLVD ,51,305,, ,@CURRENCY EXCHANGE,1315,KINGSHIGHWAY,888174.5,1029422,5/8/2017
17-024742,2017-05,5/22/2017 13:00,Y, , ,1, ,52330,5/23/2017 9:43,5/27/2017,6,621,BURGLARY-BUSINESS/UNK TIME/FORC ENT/OCCUPIED      ,4300,NATURAL BRIDGE AVE  ,56,306,,NATURAL BRIDGE CURRENCY EXCHANGE,CURRENCY EXCHANGE,4300,NATURAL BRIDGE,895809.6,1032501,5/30/2017
17-024080,2017-05,5/20/2017 2:50,Y, , ,1, ,241100,5/20/2017 4:14,5/26/2017,4,428,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,2005,LOCUST ST           ,36,301,,PEPPER LOUNGE,@PEPPER LOUNGE,2005,LOCUST,903542.1,1019571,5/26/2017
17-021403,2017-05,5/6/2017 12:45,Y, , ,1, ,43016,5/6/2017 14:02,5/7/2017,5,527,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC           ,4555,COTE BRILLIANTE AVE ,56,305,, , ,4555,COTE BRILLIANTE,892011,1029408,5/8/2017
17-023827,2017-05,5/18/2017 17:53,Y, , ,1, ,67601,5/18/2017 18:31,5/18/2017,2,222,"LARCENY-FROM BUILDING $500 - $24,999              ",3125,S KINGSHIGHWAY BLVD ,13,302,,CENTRAL VPA HIGHSCHOOL, ,3125,KINGSHIGHWAY,885608.9,1009040,5/22/2017
17-025001,2017-05,5/24/2017 16:49,Y, , ,1, ,229999,5/24/2017 17:03,5/25/2017,4,422,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE                ,800,PINE ST             ,35,304,, ,BM BLK JEANS BLK COAT,800,PINE,907783.3,1017500,5/26/2017
17-023692,2017-05,5/17/2017 7:45,Y, , ,1, ,67701,5/18/2017 8:35,5/19/2017,2,224,LARCENY-FROM BUILDING UNDER $500                  ,3417,GRACE AVE           ,15,302,, ,@FANNING SCHOOL,3417,GRACE,893008.3,1005838,5/22/2017
17-023142,2017-05,5/14/2017 22:30,Y, , ,1, ,64601,5/15/2017 15:01,5/18/2017,5,524,"LARCENY-FROM MTR VEH $500 - $24,999               ",5540,DELMAR BLVD         ,47,305,, , ,5540,DELMAR,882836.1,1026756,5/19/2017
17-025224,2017-05,5/22/2017 12:00,Y, , ,1, ,73413,5/25/2017 19:33,5/27/2017,3,322,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48    ,3718,TENNESSEE AVE       ,19,301,, , ,6900,GRAVOIS,894183.4,1003457,5/30/2017
17-023746,2017-05,5/17/2017 13:40,Y, , ,1, ,51122,5/18/2017 13:10,5/18/2017,2,227,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED       ,2007,EDWARDS ST          ,12,302,, , ,2005,EDWARDS,884454.3,1013501,5/22/2017
17-023507,2017-05,5/2/2017 14:13,Y, , ,1, ,266999,5/17/2017 8:48,5/17/2017,4,426,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,4500,N BROADWAY          ,64,399,, ,NUISANCE ABATEMENT PROPERTY,4500,BROADWAY,905164,1033720,5/19/2017
17-021549,2017-05,5/7/2017 10:46,Y, , ,1, ,265321,5/7/2017 13:48,5/7/2017,6,624,LEAVING SCENE OF ACCIDENT                         ,3720,N KINGSHIGHWAY BLVD ,69,306,, , ,4979,NATURAL BRIDGE,891316,1035410,5/8/2017
17-025356,2017-05,5/26/2017 11:20,Y, , ,1, ,63701,5/26/2017 12:33,5/27/2017,2,222,LARCENY-SHOPLIFT UNDER $500                       ,60,HAMPTON VILLAGE PLZ ,7,302,,SCHNUCKS, ,60,HAMPTON VILLAGE,879568.8,1004479,5/30/2017
17-023749,2017-05,5/18/2017 13:00,Y, , ,1, ,31111,5/18/2017 14:03,5/18/2017,5,527,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,4757,COTE BRILLIANTE AVE ,55,340,, , ,4757,COTE BRILLIANTE,890360.9,1030172,5/22/2017
17-025589,2017-05,5/27/2017 18:15,Y, , ,1, ,31111,5/27/2017 19:24,5/27/2017,1,124,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,0,BATES ST / I 55 SOUTHBOUND,1,301,, , ,3609,BATES,893282.8,994118.5,5/30/2017
17-025142,2017-05,5/24/2017 22:00,Y, , ,1, ,265321,5/25/2017 14:45,5/28/2017,2,222,LEAVING SCENE OF ACCIDENT                         ,6405,LINDENWOOD PL       ,9,302,, , ,6405,LINDENWOOD,877786.3,1005233,5/30/2017
17-024815,2017-05,5/19/2017 12:30,Y, , ,1, ,52312,5/23/2017 16:11,5/26/2017,6,624,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED    ,4116,UNION BLVD          ,70,306,, , ,4116,UNION,890270.5,1037484,5/30/2017
17-025528,2017-05,5/26/2017 18:00,Y, , ,1, ,65701,5/27/2017 9:40,5/27/2017,1,127,LARCENY-MTR VEH PARTS UNDER $500                  ,3907,ALBERTA ST          ,16,680,, , ,3907,ALBERTA,891334,1002385,5/30/2017
17-023779,2017-05,5/18/2017 15:04,Y, , ,1, ,266999,5/18/2017 16:43,5/18/2017,1,124,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,6325,ALASKA AVE          ,1,301,, , ,6325,ALASKA,889789.9,993387.8,5/22/2017
17-020838,2017-05,4/20/2017 10:51,Y, , ,1, ,51312,5/3/2017 11:39,5/7/2017,6,622,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,4249,RED BUD AVE         ,68,306,, , ,4249,RED BUD,898054.1,1034564,5/9/2017
17-021147,2017-05,5/5/2017 7:19,Y, , ,1, ,91114,5/5/2017 10:38,5/5/2017,4,423,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",1635,WASHINGTON AVE      ,36,304,, ,UNIT 802,1635,WASHINGTON,905008.9,1019615,5/8/2017
17-025599,2017-05,5/24/2017 9:30,Y, , ,1, ,65701,5/27/2017 19:58,5/27/2017,1,126,LARCENY-MTR VEH PARTS UNDER $500                  ,4670,TENNESSEE AVE       ,16,680,, , ,4670,TENNESSEE,892383.7,998066.4,5/30/2017
17-023415,2017-05,5/16/2017 18:15,Y, , ,1, ,41203,5/16/2017 19:17,5/16/2017,5,523,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE      ,4930,FOUNTAIN AVE        ,53,305,, , ,4949,FOUNTAIN,888442.2,1027432,5/19/2017
17-020672,2017-05,4/29/2017 12:09,Y, , ,1, ,51322,5/2/2017 13:05,5/7/2017,6,627,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,2105,E COLLEGE AVE       ,66,306,, , ,2105,COLLEGE,901603.8,1034812,5/9/2017
17-023585,2017-05,5/17/2017 4:00,Y, , ,1, ,71013,5/17/2017 15:44,5/17/2017,1,129,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4919,WINONA AVE          ,7,680,, , ,4919,WINONA,884520.4,1003925,5/19/2017
17-021127,2017-05,5/5/2017 0:30,Y, , ,1, ,142320,5/5/2017 7:09,5/6/2017,5,526,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5706,CHAMBERLAIN AVE     ,48,305,, , ,5706,CHAMBERLAIN,882002.8,1029758,5/8/2017
17-023428,2017-05,5/16/2017 18:41,Y, , ,1, ,69702,5/16/2017 20:15,5/16/2017,3,323,LARCENY-ALL OTHER UNDER $500                      ,3433,MICHIGAN AVE        ,19,303,, , ,3433,MICHIGAN,895589.8,1005097,5/19/2017
17-022982,2017-05,5/14/2017 19:15,Y, , ,1, ,91114,5/14/2017 20:21,5/16/2017,6,628,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",8760,GOODFELLOW BLVD     ,73,306,, , ,8760,GOODFELLOW,891763.2,1050755,5/18/2017
17-024947,2017-05,5/21/2017 1:30,Y, , ,1, ,83000,5/24/2017 11:59,5/28/2017,5,528,ARSON-KNOWINGLY BURNING/SUCCESS                   ,5217,HIGHLAND AVE        ,52,305,, , ,5217,HIGHLAND,888123.2,1032992,5/30/2017
17-023287,2017-05,5/15/2017 20:45,Y, , ,1, ,64701,5/16/2017 8:21,5/16/2017,3,326,LARCENY-FROM MTR VEH UNDER $500                   ,0,ANN AVE / DOLMAN ST,21,680,, , ,1315,ANN,902668,1010178,5/19/2017
17-025235,2017-05,5/25/2017 18:00,Y, , ,1, ,142320,5/25/2017 19:37,5/26/2017,1,121,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,7510,VERMONT AVE         ,2,302,, , ,7510,VERMONT,888263.4,989482.6,5/30/2017
17-020862,2017-05,5/3/2017 12:30,Y, , ,1, ,241100,5/3/2017 14:24,5/7/2017,6,623,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4400,RICHARD PL          ,69,306,, , ,4400,RICHARD,895417.9,1036689,5/8/2017
17-023374,2017-05,5/16/2017 14:37,Y, , ,1, ,265321,5/16/2017 15:57,5/16/2017,3,328,LEAVING SCENE OF ACCIDENT                         ,1530,LAFAYETTE AVE       ,33,303,, , ,1530,LAFAYETTE,903270.1,1012207,5/18/2017
17-021277,2017-05,4/10/2017 10:00,Y, , ,1, ,67601,5/5/2017 19:40,5/7/2017,2,224,"LARCENY-FROM BUILDING $500 - $24,999              ",3419,GILES AVE           ,15,302,, , ,3419,GILES,892720.6,1005860,5/9/2017
17-023136,2017-05,3/3/2017 13:58,Y, , ,1, ,266999,5/15/2017 14:00,5/16/2017,4,428,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,1915,OLIVE ST,36,601,,POLICE HEADQUARTERS,@HEADQUARTERS,1915,OLIVE,903703.7,1019090,5/17/2017
17-022869,2017-05,5/14/2017 1:00,Y, , ,1, ,91113,5/14/2017 5:31,5/16/2017,4,426,SIMPLE ASSAULT-ADULT/NO INJURY                    ,4500,N BROADWAY          ,64,304,,@PHILLIPS 66, ,1915,OLIVE,905164,1033720,5/18/2017
17-023188,2017-05,3/1/2017 14:00,Y, , ,1, ,67701,5/15/2017 20:20,5/17/2017,6,625,LARCENY-FROM BUILDING UNDER $500                  ,5902,DRESSELL AVE        ,70,305,, , ,5902,DRESSELL,885468.4,1039802,5/19/2017
17-023033,2017-05,5/15/2017 2:35,Y, , ,1, ,41011,5/15/2017 4:09,5/16/2017,5,526,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,5400,PAGE BLVD           ,48,305,, , ,5204,WELLS,884585.3,1029900,5/19/2017
17-021562,2017-05,5/3/2017 17:00,Y, , ,1, ,51312,5/7/2017 12:57,5/8/2017,4,429,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,2013,SAINT LOUIS AVE     ,60,304,, , ,2013,SAINT LOUIS,905127.7,1026175,5/9/2017
17-023639,2017-05,5/17/2017 18:30,Y, , ,1, ,142320,5/17/2017 19:49,5/18/2017,4,427,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,0,MARKET ST / S VANDEVENTER AVE,37,680,, , ,3858,MARKET,893502.4,1018969,5/22/2017
17-021384,2017-05,5/5/2017 18:30,Y, , ,1, ,142320,5/6/2017 11:36,5/6/2017,1,122,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3885,GERMANIA ST         ,4,680,, , ,3885,GERMANIA,884580.4,991760.9,5/9/2017
17-023285,2017-05,5/16/2017 0:30,Y, , ,1, ,51312,5/16/2017 8:33,5/17/2017,1,129,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,4324,ELLENWOOD AVE       ,5,301,, , ,4324,ELLENWOOD,886896.9,1002219,5/18/2017
17-022802,2017-05,5/13/2017 15:00,Y, , ,1, ,51112,5/13/2017 18:42,5/16/2017,5,529,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,5543,GREER AVE           ,50,305,, , ,5543,GREER,886631.9,1036321,5/17/2017
17-025467,2017-05,5/26/2017 23:30,Y, , ,1, ,71013,5/27/2017 0:40,5/27/2017,2,224,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,3704,FAIRVIEW AVE        ,15,680,, , ,3704,FAIRVIEW,892722.9,1005574,5/30/2017
17-025186,2017-05,5/25/2017 14:45,Y, , ,1, ,71013,5/25/2017 15:54,5/27/2017,6,623,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4886,LEE AVE             ,69,332,, , ,4886,LEE,892915.1,1036299,5/30/2017
17-023609,2017-05,5/15/2017 20:00,Y, , ,1, ,51312,5/17/2017 19:06,5/18/2017,5,523,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,4529,MCMILLAN AVE        ,54,305,, , ,4529,MCMILLAN,890940.5,1026838,5/22/2017
17-023720,2017-05,3/30/2017 12:46,Y, , ,1, ,101000,5/18/2017 11:26,5/18/2017,4,422,FORGERY                                           ,710,OLIVE ST,35,304,, ,@FIRST BANK - OLIVE,710,OLIVE,908293.4,1017743,5/22/2017
17-022868,2017-05,5/14/2017 4:20,Y, , ,1, ,142320,5/14/2017 4:58,5/18/2017,5,529,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5745,GREER AVE           ,50,305,, , ,5745,GREER,885132.5,1036943,5/19/2017
17-023468,2017-05,5/17/2017 0:40,Y, , ,1, ,31111,5/17/2017 1:20,5/17/2017,4,428,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,414,N 23RD ST           ,36,304,, , ,414,23RD,902457.6,1019827,5/19/2017
17-022259,2017-05,5/10/2017 19:45,Y, , ,1, ,182250,5/10/2017 20:36,5/18/2017,5,527,DRUGS-POSSESSION/COCAINE                          ,5039,MINERVA AVE         ,51,340,, ,VACANT PROPERTY,5039,MINERVA,887765.6,1029700,5/19/2017
17-023602,2017-05,5/17/2017 16:18,Y, , ,1, ,31111,5/17/2017 18:09,5/17/2017,3,323,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,3125,CHIPPEWA ST         ,19,303,, , ,3125,CHIPPEWA,895445.9,1002966,5/19/2017
17-023834,2017-05,5/18/2017 17:30,Y, , ,1, ,31111,5/18/2017 19:00,5/18/2017,5,526,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,0,HODIAMONT AVE / WELLS AVE,78,302,, , ,4157,SHAW,881282,1034274,5/22/2017
17-025476,2017-05,5/27/2017 1:00,Y, , ,1, ,41011,5/27/2017 1:48,5/27/2017,5,523,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4541,MCMILLAN AVE        ,54,305,, , ,4541,MCMILLAN,890940.5,1026838,5/30/2017
17-023303,2017-05,5/14/2017 9:21,Y, , ,1, ,67701,5/16/2017 9:22,5/16/2017,1,123,LARCENY-FROM BUILDING UNDER $500                  ,7224,GRAVOIS AVE         ,4,301,,ST LOUIS COMMUNITY CREDIT UNION,ST LOUIS COMMUNITY CREDIT UNION,7224,GRAVOIS,879668,994719.5,5/19/2017
17-025278,2017-05,5/26/2017 1:10,Y, , ,1, ,265321,5/27/2017 8:24,5/28/2017,1,126,LEAVING SCENE OF ACCIDENT                         ,5000,ALASKA AVE          ,16,301,, , ,5000,ALASKA,892450.7,996855.2,5/30/2017
17-024751,2017-05,5/23/2017 1:00,Y, , ,1, ,64601,5/23/2017 10:24,5/26/2017,5,525,"LARCENY-FROM MTR VEH $500 - $24,999               ",5621,DELMAR BLVD         ,48,305,, , ,5621,DELMAR,882244.1,1027110,5/30/2017
17-025373,2017-05,5/25/2017 10:30,Y, , ,1, ,265321,5/26/2017 14:33,5/28/2017,5,524,LEAVING SCENE OF ACCIDENT                         ,5114,PAGE BLVD           ,51,305,, , ,5200,PAGE,886927.6,1029247,5/30/2017
17-023082,2017-05,12/1/2016 0:01,Y, , ,1, ,69602,5/15/2017 10:20,5/18/2017,1,126,"LARCENY-ALL OTHER $500 - $24,999                  ",4666,LOUISIANA AVE       ,16,312,, , ,4666,LOUISIANA,892728.5,997940.3,5/19/2017
17-025080,2017-05,5/25/2017 1:00,Y, , ,1, ,51221,5/25/2017 5:24,5/27/2017,2,224,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED         ,3907,MCDONALD AVE        ,15,302,, , ,3907,MCDONALD,891402.6,1006398,5/30/2017
17-021367,2017-05,5/6/2017 2:00,Y, , ,1, ,65701,5/6/2017 9:36,5/6/2017,6,629,LARCENY-MTR VEH PARTS UNDER $500                  ,1020,THEOBALD ST         ,74,680,, , ,1020,THEOBALD,896091.9,1049956,5/8/2017
17-023472,2017-05,5/17/2017 0:35,Y, , ,1, ,31111,5/17/2017 1:44,5/17/2017,1,127,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,3711,KEOKUK ST           ,16,301,, , ,3711,KEOKUK,892447.5,1002581,5/19/2017
17-023638,2017-05,5/17/2017 0:30,Y, , ,1, ,64701,5/17/2017 19:47,5/18/2017,2,225,LARCENY-FROM MTR VEH UNDER $500                   ,3803,SHAW AVE            ,27,680,, , ,3803,SHAW,893700.3,1013106,5/22/2017
17-025404,2017-05,5/25/2017 18:00,Y, , ,1, ,64711,5/26/2017 16:37,5/26/2017,3,323,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,3340,VIRGINIA AVE        ,30,680,, , ,3340,VIRGINIA,895212.1,1005758,5/30/2017
17-025385,2017-05,5/26/2017 13:30,Y, , ,1, ,91113,5/26/2017 14:45,5/28/2017,4,426,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3515,NATURAL BRIDGE AVE  ,67,304,, ,@POPEYES - NATURAL BRIDGE,3515,NATURAL BRIDGE,901382.6,1029659,5/30/2017
17-022796,2017-05,5/12/2017 20:00,Y, , ,1, ,51312,5/13/2017 17:06,5/16/2017,5,525,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,935,GOODFELLOW BLVD     ,48,305,, , ,935,GOODFELLOW,881329.5,1029079,5/17/2017
17-021145,2017-05,5/5/2017 8:50,Y, , ,1, ,91114,5/5/2017 10:38,5/8/2017,2,224,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4061,GRAVOIS AVE         ,15,302,, ,APT 301,4061,GRAVOIS,890167.1,1003784,5/9/2017
17-023157,2017-05,5/15/2017 12:00,Y, , ,1, ,69602,5/15/2017 16:17,5/17/2017,3,326,"LARCENY-ALL OTHER $500 - $24,999                  ",0,I 55 NORTHBOUND / PARK AVE,21,304,, , ,3608,GRAND,906535.6,1012224,5/19/2017
17-025226,2017-05,5/24/2017 15:00,Y, , ,1, ,265321,5/25/2017 19:15,5/26/2017,2,221,LEAVING SCENE OF ACCIDENT                         ,4100,UTAH ST             ,15,302,, ,CAR PARKED ALONG OAK HILL,4100,UTAH,889907.6,1006743,5/30/2017
17-025623,2017-05,5/27/2017 22:40,Y, , ,1, ,265321,5/28/2017 1:55,5/28/2017,5,525,LEAVING SCENE OF ACCIDENT                         ,5798,PERSHING AVE        ,46,305,, , ,5798,PERSHING,880209.4,1025102,5/30/2017
17-025267,2017-05,5/25/2017 9:00,Y, , ,1, ,67601,5/26/2017 0:35,5/26/2017,4,426,"LARCENY-FROM BUILDING $500 - $24,999              ",4200,PECK ST             ,67,304,, , ,4200,PECK,902577,1031545,5/30/2017
17-024974,2017-05,5/23/2017 21:30,Y, , ,1, ,69702,5/24/2017 13:53,5/24/2017,2,223,LARCENY-ALL OTHER UNDER $500                      ,4924,TAMM AVE            ,8,680,, , ,4924,TAMM,877778.6,1002354,5/26/2017
17-022926,2017-05,5/14/2017 12:45,Y, , ,1, ,51111,5/14/2017 13:41,5/15/2017,3,321,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED         ,2915,POTOMAC ST          ,19,303,, , ,2915,POTOMAC,896423.3,1004728,5/18/2017
17-020783,2017-05,5/2/2017 21:10,Y, , ,1, ,222300,5/2/2017 21:35,5/8/2017,4,421,LIQUOR LAWS-POSSESSION BY A MINOR                 ,405,S BROADWAY          ,35,302,,BUSCH STADIUM, ,700,CLARK,908418.3,1015653,5/9/2017
17-023165,2017-05,5/15/2017 15:18,Y, , ,1, ,142320,5/15/2017 18:06,5/16/2017,5,527,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4846,LEDUC ST            ,55,305,, ,BACKYARD,4846,LEDUC,889919.8,1030719,5/17/2017
17-023224,2017-05,5/15/2017 21:00,Y, , ,1, ,67701,5/15/2017 22:10,5/18/2017,1,125,LARCENY-FROM BUILDING UNDER $500                  ,4843,NEBRASKA AVE        ,17,301,, ,1ST FL,4843,NEBRASKA,895108.4,995907.3,5/19/2017
17-025038,2017-05,5/24/2017 19:30,Y, , ,1, ,182400,5/24/2017 20:48,5/26/2017,2,224,DRUGS-POSSESSION/MARIJUANA                        ,3609,S GRAND BLVD        ,15,302,, , ,3609,GRAND,893495.9,1004685,5/30/2017
17-023175,2017-05,5/15/2017 16:45,Y, , ,1, ,31421,5/15/2017 17:49,5/17/2017,6,628,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS         ,8917,RIVERVIEW BLVD      ,73,306,, ,ASSUALT OCCURRED IN GRASS PATCH ACROSS FROM ADDRESS,8917,RIVERVIEW,894194.1,1051081,5/19/2017
17-021334,2017-05,5/6/2017 1:17,Y, , ,1, ,92000,5/6/2017 2:14,5/6/2017,3,329,SIMPLE ASSAULT-HARRASSMENT                        ,2506,CALIFORNIA AVE      ,24,303,, , ,2506,CALIFORNIA,898247.9,1010054,5/9/2017
17-023474,2017-05,4/30/2017 7:00,Y, , ,1, ,67601,5/17/2017 2:43,5/18/2017,6,622,"LARCENY-FROM BUILDING $500 - $24,999              ",4124,LEA PL              ,68,306,, , ,4124,LEA,898852.4,1032961,5/22/2017
17-025487,2017-05,5/27/2017 2:00,Y, , ,1, ,265321,5/27/2017 6:11,5/29/2017,6,629,LEAVING SCENE OF ACCIDENT                         ,8570,LOWELL ST           ,74,306,, ,VACANT RESIDENCE,8567,LOWELL,898007.3,1051150,5/30/2017
17-025491,2017-05,5/27/2017 1:30,Y, , ,1, ,41011,5/27/2017 3:27,5/27/2017,5,524,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,939,N KINGSHIGHWAY BLVD ,51,305,, , ,5021,ENRIGHT,887827.4,1027386,5/30/2017
17-025411,2017-05,5/26/2017 16:56,Y, , ,1, ,69603,5/26/2017 17:57,5/27/2017,4,425,"LARC-ALL OTH/FRM PRSN/$500 - $24,999              ",2524,HADLEY ST           ,63,304,, , ,2524,HADLEY,907566.7,1025692,5/30/2017
17-023592,2017-05,5/16/2017 20:00,Y, , ,1, ,142320,5/17/2017 16:14,5/17/2017,6,625,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5452,CLAXTON AVE         ,71,680,, , ,5452,CLAXTON,894195.8,1041949,5/19/2017
17-025402,2017-05,5/26/2017 15:20,Y, , ,1, ,265321,5/26/2017 19:10,5/26/2017,2,223,LEAVING SCENE OF ACCIDENT                         ,5834,NOTTINGHAM AVE      ,8,302,, ,APT 1 WEST,5834,NOTTINGHAM,879145.9,1002539,5/30/2017
17-025286,2017-05,5/26/2017 3:21,Y, , ,1, ,21000,5/26/2017 4:33,5/26/2017,3,321,RAPE -- FORCIBLE                                  ,3700,S JEFFERSON AVE     ,19,303,, , ,3700,JEFFERSON,0,0,5/26/2017
17-023351,2017-05,4/17/2017 21:20,Y, , ,1, ,266999,5/16/2017 13:25,5/16/2017,4,425,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,1402,HEBERT ST           ,63,399,,STEPPING INTO THE LIGHT,NUISANCE ABATEMENT PROPERTY,1402,HEBERT,906504.1,1027046,5/17/2017
17-023232,2017-05,5/15/2017 20:54,Y, , ,1, ,266520,5/15/2017 23:03,5/16/2017,5,521,PUBLIC ORDER-TRESPASSING ON SCHOOL PROPERTY       ,520,S EUCLID AVE        ,38,305,,FERRELL LEARNING AND TEACHING CENTER,WASHINGTON UNIVERSITY PROPERTY,4526,CHILDRENS,887915.4,1020548,5/17/2017
17-023221,2017-05,5/15/2017 21:00,Y, , ,1, ,265321,5/17/2017 14:55,5/17/2017,5,527,LEAVING SCENE OF ACCIDENT                         ,1923,MARCUS AVE          ,55,305,, , ,1923,MARCUS,891094.9,1030487,5/19/2017
17-021313,2017-05,5/5/2017 15:30,Y, , ,1, ,142320,5/6/2017 0:24,5/6/2017,1,126,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4751,TENNESSEE AVE       ,16,301,, , ,4751,TENNESSEE,891800.4,997550.7,5/8/2017
17-023398,2017-05,5/16/2017 16:41,Y, , ,1, ,31111,5/16/2017 17:54,5/16/2017,1,127,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,3865,ALBERTA ST          ,16,301,, , ,3865,ALBERTA,891797.1,1002328,5/18/2017
17-021387,2017-05,5/5/2017 20:00,Y, , ,1, ,65701,5/6/2017 11:58,5/6/2017,4,424,LARCENY-MTR VEH PARTS UNDER $500                  ,0,N BROADWAY / MULLANPHY ST,64,680,, , ,3924,SULLIVAN,909876.5,1022450,5/8/2017
17-023498,2017-05,5/9/2017 0:09,Y, , ,1, ,266999,5/17/2017 8:26,5/17/2017,1,126,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,5529,LOUISIANA AVE       ,1,399,, , ,5529,LOUISIANA,891075.7,995785.1,5/18/2017
17-023603,2017-05,5/8/2017 15:00,Y, , ,1, ,142320,5/17/2017 16:55,5/18/2017,6,625,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4941,DAVISON AVE         ,72,680,, , ,4941,DAVISON,890710.3,1041322,5/22/2017
17-023084,2017-05,12/1/2016 0:01,Y, , ,1, ,21000,5/15/2017 10:26,5/17/2017,4,424,RAPE -- FORCIBLE                                  ,1100,N 9TH ST            ,62,373,, , ,1100,9TH,0,0,5/19/2017
17-022800,2017-05,5/13/2017 16:50,Y, , ,1, ,41011,5/13/2017 18:44,5/17/2017,1,121,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,7406,MICHIGAN AVE        ,2,301,, , ,7406,MICHIGAN,889098.3,989349.6,5/19/2017
17-024879,2017-05,5/23/2017 23:06,Y, , ,1, ,67701,5/24/2017 0:46,5/26/2017,6,625,LARCENY-FROM BUILDING UNDER $500                  ,4230,DARDENNE DR         ,70,306,, , ,4230,DARDENNE,884977.1,1040735,5/26/2017
